,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
75,Yuuri,レオ,3eg3igrhEhzk8bqqRz6XCt,67,0.629,0.543,5,-6.281,1,0.0252,0.383,0.0,0.127,0.403,93.043,238973,4
76,THE YELLOW MONKEY,LOVE LOVE SHOW - 2022 Remaster,1C6iwln5O99JyAHNmr0S6L,27,0.418,0.954,1,-3.575,0,0.22,0.000724,0.0,0.214,0.375,149.97,286907,4
77,ONE OK ROCK,Save Yourself,1B04DTxiZUA5QW9Zxe1IEJ,66,0.56,0.859,5,-2.747,1,0.0694,0.00802,0.0,0.0541,0.768,82.52,197995,4
78,THE YELLOW MONKEY,嘆くなり我が夜のファンタジー - 2022 Remaster,5PUb3bj0VsCFLpDeRTuhYx,27,0.465,0.978,2,-2.55,1,0.173,0.00159,0.0,0.37,0.531,126.254,265653,4
79,Aimyon,初恋が泣いている,1vT6VdL9PrHOBziwubdt29,66,0.608,0.819,6,-4.044,1,0.0301,0.0175,0.000184,0.312,0.659,105.026,239333,4
80,THE YELLOW MONKEY,追憶のマーメイド - 2022 Remaster,4TjGWghF9SWLWT3b2WXeO1,27,0.472,0.926,9,-3.11,0,0.0353,0.000967,1.79e-06,0.163,0.885,131.475,237467,4
81,BUMP OF CHICKEN,クロノスタシス,6Pd73yNBtoVpTRM6xLwOGp,67,0.699,0.738,0,-7.487,1,0.0259,0.0963,5.42e-05,0.163,0.671,120.001,339870,4
82,The Temptations,My Girl,0Gd8GJUlNES5jJ5LiTwRSe,0,0.565,0.611,7,-4.592,1,0.0394,0.254,0.0,0.199,0.583,105.022,175933,4
83,Creepy Nuts,ばかまじめ,55emtNBnUXszixuQj4Fg6I,67,0.61,0.938,10,-3.592,0,0.0525,0.194,0.0,0.518,0.802,90.949,172367,4
84,Smash Mouth,All Star,594T8WGti1SFxj7nA0bf0h,0,0.731,0.867,11,-5.881,1,0.032,0.0394,0.0,0.0861,0.776,104.02,200373,4
85,WEDNESDAY CAMPANELLA,エジソン,2wRKOmpe6I7q6k69bkjuFU,66,0.838,0.729,1,-5.733,0,0.0802,0.0195,0.0089,0.101,0.619,129.999,193511,4
86,THE YELLOW MONKEY,球根 - 2022 Remaster,7Gk1za14kuwOzXKE9qTbUC,25,0.337,0.796,2,-4.121,0,0.0397,0.025,0.0,0.206,0.141,187.822,337880,4
87,BTS,Run BTS,69xohKu8C1fsflYAiSNbwM,89,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,204940,4
88,THE YELLOW MONKEY,パール - 2022 Remaster,19iMLEFIRPDFRNHEIqxvmR,25,0.472,0.933,11,-3.741,1,0.0513,8.07e-06,4.16e-05,0.286,0.54,122.999,221613,4
89,milet,Walkin' In My Lane,3l2O4IuJ4DFEfUwDdWyPnf,67,0.604,0.851,7,-4.38,1,0.0918,0.00792,0.000282,0.108,0.342,190.107,240053,4
90,Trinidad Cardona,Dinero,5dPBI7jxjts9RNdcPGc5DY,1,0.709,0.782,2,-4.687,1,0.0672,0.00774,0.0,0.107,0.484,119.997,160880,4
91,YOASOBI,好きだ,7537JfhvVpEqkrY2CIY7zu,69,0.771,0.935,4,-3.366,0,0.0327,0.174,1.06e-06,0.404,0.86,120.032,217512,4
92,THE YELLOW MONKEY,プライマル。 - 2022 Remaster,78TYOzoehy7VHKXRse0ZQ3,24,0.62,0.917,9,-3.806,1,0.0337,0.000487,0.0,0.113,0.581,124.857,258427,4
93,有華,Partner,48lsRmp9AC6tU4rP9QJx4H,66,0.789,0.63,9,-5.049,1,0.037,0.108,1.56e-06,0.132,0.836,95.009,174013,4
94,Chuck Berry,Johnny B. Goode,4G9GCltdw9FD3LsNEnnO30,0,0.493,0.889,10,-5.036,1,0.07,0.773,7.22e-05,0.323,0.97,169.898,159467,4
95,YOAKE,ねぇ,4OL2UHjasZp21Z1c2htqPj,65,0.531,0.761,0,-6.434,1,0.0426,0.0769,0.0,0.111,0.962,171.038,200702,4
96,THE YELLOW MONKEY,SO YOUNG - 2022 Remaster,30ERitulemnuTNuQAwkeuG,24,0.376,0.836,0,-3.681,1,0.0333,0.00396,0.000113,0.328,0.325,174.238,310760,4
97,PSY,That That (prod. & feat. SUGA of BTS),5oH4DQAuu1J1800RzUsBWa,85,0.905,0.962,4,-3.197,1,0.0856,0.0299,0.0,0.0272,0.906,129.969,174647,4
98,THE YELLOW MONKEY,DANDAN - 2022 Remaster,1eSD93yRsYTlgfceD4TCSP,23,0.638,0.926,7,-3.598,1,0.0484,0.116,2.91e-06,0.0862,0.929,133.966,233320,4
99,Bad Bunny,MIA,2zadJqFZQOkQqNeO2GiywL,10,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.061,210368,4
100,twocolors,Lovefool,26AXFaooZfNBmEfFLH0i1p,0,0.693,0.767,6,-6.822,1,0.0544,0.0255,4.5e-06,0.158,0.204,123.014,190733,4
101,THE YELLOW MONKEY,熱帯夜 - 2022 Remaster,2yAeJCnebIFB3DZ0450ePo,23,0.453,0.98,9,-1.879,1,0.0843,0.00807,0.0,0.114,0.501,131.767,284227,4
102,The Supremes,You Can't Hurry Love,3rz3j6GgJToW32pPoK2ANL,0,0.709,0.692,7,-4.903,0,0.0338,0.199,0.0,0.106,0.624,96.624,181787,4
103,THE YELLOW MONKEY,Love Communication - 2022 Remaster,3GUNxwxaWrfe5sfvd9bKqB,23,0.423,0.976,4,-1.758,1,0.0743,0.00627,0.0,0.256,0.454,126.917,300000,4
104,Trisha Yearwood,She's In Love With The Boy - Single Version,37EsSdsBRM9btPWpEQum0k,0,0.783,0.698,3,-8.268,1,0.0323,0.524,2.52e-06,0.0754,0.758,124.996,248200,4
105,Lilas Ikuta,レンズ,7ylpphbW8jf5bh7NKJnO8s,66,0.539,0.435,2,-5.455,1,0.0428,0.387,0.0,0.182,0.334,163.986,238537,4
106,Saucy Dog,魔法にかけられて,03RD1XAEH7lSTrYe4zMDl9,65,0.608,0.581,7,-5.399,1,0.0271,0.546,3.44e-06,0.124,0.572,82.005,254934,4
107,THE YELLOW MONKEY,MY WINDING ROAD - 2022 Remaster,1OvaNT6TxUy1wRxfGr1Ckl,22,0.479,0.954,4,-3.181,0,0.0497,0.00766,0.0,0.223,0.379,128.062,298627,4
108,RADWIMPS,うるうびと,6mJIn3fvwWHHAnrR3LEdxp,65,0.489,0.522,11,-5.291,1,0.0306,0.401,0.0,0.238,0.43,78.035,318880,4
109,THE YELLOW MONKEY,BRILLIANT WORLD - 2022 Remaster,0yCdkVm9C1FYWLbyctCtq2,22,0.512,0.878,2,-4.175,1,0.0627,0.000637,0.0,0.209,0.359,111.034,254093,4
110,Kep1er,Up!,6P2IZsIyNVeOl712sFg4lc,64,0.751,0.929,6,-2.903,1,0.118,0.0198,5.07e-06,0.0308,0.928,124.013,192027,4
111,THE YELLOW MONKEY,砂の塔 - 2022 Remaster,7yt1P67kiIrM5ghIpFTt3S,22,0.6,0.796,1,-4.391,0,0.0347,0.00106,6.1e-05,0.0987,0.442,113.061,282907,4
112,THE YELLOW MONKEY,ALRIGHT - 2022 Remaster,6z4MRKrGdeENt6FzK4BsGE,22,0.524,0.951,11,-2.932,0,0.0753,0.000241,1.59e-05,0.335,0.544,125.01,283413,4
113,Yuuri,うぉ,5cjjWH34eymyinmFKaAEEC,65,0.704,0.66,11,-4.602,1,0.0929,0.315,0.0,0.0852,0.86,109.873,168027,4
114,THE YELLOW MONKEY,SUCK OF LIFE - 2022 Remaster,3sMdWcxWUoClItYiY9cSCw,22,0.557,0.952,9,-1.933,0,0.0548,0.0226,1.28e-05,0.322,0.697,123.712,338680,4
115,HENTAI SHINSHI CLUB,溜め息,4PKIhZHuWGlELcxyvV8Oxb,64,0.799,0.559,6,-7.59,1,0.0509,0.132,1.61e-05,0.0965,0.5,94.007,177813,4
116,THE YELLOW MONKEY,花吹雪 - 2022 Remaster,4qZtfjtMAh6mO50lS1NsG6,21,0.49,0.931,11,-3.205,0,0.0758,0.0012,0.0,0.174,0.476,111.986,271107,4
117,wacci,恋だろ,0ir7DGXo3hxaPa82h1vrOj,64,0.599,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,282427,4
118,Rick James,Super Freak,3v4km1NkY4M8jZ7J4ohzHR,0,0.857,0.796,9,-6.866,0,0.0527,0.079,0.0,0.0503,0.944,132.528,204600,4
119,SEVENTEEN,HOT,6I2tqFhk8tq69iursYxuxd,81,0.765,0.777,5,-4.376,0,0.0399,0.0539,2.58e-06,0.338,0.64,111.944,197587,4
120,THE YELLOW MONKEY,聖なる海とサンシャイン - 2022 Remaster,7yle3rDJcvwpW1sRoD1XnY,21,0.504,0.832,9,-4.131,1,0.0347,0.037,3.7e-06,0.252,0.579,104.898,289627,4
121,Ado,私は最強 - ウタ from ONE PIECE FILM RED,7bmAgiUc4W4bfyZRCc6lOh,66,0.574,0.858,4,-2.911,1,0.0469,0.205,0.0,0.344,0.658,95.954,257915,4
122,L'Arc-en-Ciel,ALL YEAR AROUND FALLING IN LOVE - Remastered 2022,5KOr7JBQfQ1vbjGa189Gw6,21,0.564,0.767,7,-5.839,1,0.0297,0.000279,0.000983,0.184,0.221,114.006,333880,4
123,NMIXX,O.O,1m2PksrrMpIev63uPxT1V0,64,0.39,0.767,11,-3.918,0,0.293,0.0354,4.26e-06,0.0601,0.285,200.263,172936,4
124,THE YELLOW MONKEY,天道虫 - 2022 Remaster,3xBKVt8pms0Z56L5cDlUhS,20,0.406,0.93,11,-4.891,0,0.0577,0.000378,0.000655,0.164,0.687,177.994,226360,4
125,Mrs. GREEN APPLE,ブルーアンビエンス,1S1WSh4uCprvucg6Hx57Eh,64,0.647,0.906,0,-3.803,0,0.0374,0.0337,0.0,0.116,0.73,106.485,250773,4
126,THE YELLOW MONKEY,Balloon Balloon - 2022 Remaster,3Tb3YItPzhkVVhKycruvUi,20,0.439,0.919,4,-4.108,0,0.039,0.000242,0.00384,0.0961,0.912,157.961,254600,4
