Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
77,ONE OK ROCK,Save Yourself,1B04DTxiZUA5QW9Zxe1IEJ,66,0.56,0.859,5,-2.747,1,0.0694,0.00802,0.0,0.0541,0.768,82.52,197995,4
79,Aimyon,初恋が泣いている,1vT6VdL9PrHOBziwubdt29,66,0.608,0.819,6,-4.044,1,0.0301,0.0175,0.000184,0.312,0.659,105.026,239333,4
778,Kep1er,THE GIRLS (Can’t turn me down),5bZ8iEjZ0iLq6Hr6GPWsUR,65,0.624,0.878,8,-2.19,1,0.0594,0.0277,0.0,0.167,0.265,171.911,238133,4
147,Ado,心という名の不可解,5dwkmgutIFdurpXlzEyCtB,65,0.573,0.884,0,-3.873,1,0.113,0.05,0.0,0.289,0.595,152.0,269893,4
108,RADWIMPS,うるうびと,6mJIn3fvwWHHAnrR3LEdxp,65,0.489,0.522,11,-5.291,1,0.0306,0.401,0.0,0.238,0.43,78.035,318880,4
106,Saucy Dog,魔法にかけられて,03RD1XAEH7lSTrYe4zMDl9,65,0.608,0.581,7,-5.399,1,0.0271,0.546,3.44e-06,0.124,0.572,82.005,254934,4
113,Yuuri,うぉ,5cjjWH34eymyinmFKaAEEC,65,0.704,0.66,11,-4.602,1,0.0929,0.315,0.0,0.0852,0.86,109.873,168027,4
95,YOAKE,ねぇ,4OL2UHjasZp21Z1c2htqPj,65,0.531,0.761,0,-6.434,1,0.0426,0.0769,0.0,0.111,0.962,171.038,200702,4
125,Mrs. GREEN APPLE,ブルーアンビエンス,1S1WSh4uCprvucg6Hx57Eh,64,0.647,0.906,0,-3.803,0,0.0374,0.0337,0.0,0.116,0.73,106.485,250773,4
123,NMIXX,O.O,1m2PksrrMpIev63uPxT1V0,64,0.39,0.767,11,-3.918,0,0.293,0.0354,4.26e-06,0.0601,0.285,200.263,172936,4
127,Mrs. GREEN APPLE,ニュー・マイ・ノーマル,12fFNgW4IoYQdRCfqCPk9d,64,0.404,0.832,1,-2.87,1,0.0541,0.0032,0.0,0.0805,0.603,172.98,244338,4
673,XG,Tippy Toes,1MKmSbQfJpEVnC3XfGywyF,64,0.913,0.62,0,-6.674,1,0.0769,0.0354,0.106,0.091,0.552,105.986,188213,4
153,[Alexandros],無心拍数 - アオアシ ver.,5PfEiDJQNLsk0XCZ0GH1FJ,64,0.493,0.967,8,-2.177,1,0.0577,0.00142,0.0,0.348,0.514,97.488,210967,4
144,Yuuri,ミズキリ,6T8eKlvqWuPKJT7euIqoxX,64,0.446,0.706,1,-5.447,1,0.033,0.163,0.0,0.11,0.445,179.906,208400,4
115,HENTAI SHINSHI CLUB,溜め息,4PKIhZHuWGlELcxyvV8Oxb,64,0.799,0.559,6,-7.59,1,0.0509,0.132,1.61e-05,0.0965,0.5,94.007,177813,4
140,Masaki Suda,惑う糸,340zG7IKPHFjEFgzq9MFYx,64,0.667,0.783,11,-4.22,1,0.026,0.00443,1.61e-06,0.0897,0.685,105.0,273613,4
117,wacci,恋だろ,0ir7DGXo3hxaPa82h1vrOj,64,0.599,0.546,4,-6.795,1,0.0333,0.17,0.0,0.113,0.336,143.91,282427,4
110,Kep1er,Up!,6P2IZsIyNVeOl712sFg4lc,64,0.751,0.929,6,-2.903,1,0.118,0.0198,5.07e-06,0.0308,0.928,124.013,192027,4
130,WANIMA,眩光,0Imzg052WsTbxUNDMnZhmp,63,0.405,0.968,6,-2.425,1,0.0669,0.000918,6.25e-06,0.366,0.509,194.957,214245,4
164,ZUTOMAYO,ミラーチューン,0R8JLNP107Hr7V7lL9oh13,63,0.704,0.933,0,-2.383,0,0.0863,0.357,0.0,0.353,0.895,127.965,249273,4
