Unnamed: 0,artist name,track name,track id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
731,Machine Gun Kelly,emo girl (feat. WILLOW),3tBZ60j1jQ7NJm8IjelyQe,75,0.412,0.881,2,-3.502,1,0.087,0.00039,5.82e-05,0.923,0.359,165.012,159096,4
121,SEVENTEEN,Darl+ing,6vo0dV9t7PCQZKsLFwVwZ5,75,0.71,0.686,0,-4.926,1,0.0713,0.296,0.0,0.492,0.483,96.06,176547,4
459,LE SSERAFIM,Sour Grapes,6wBpO4Xc4YgShnENGSFA1M,75,0.779,0.801,6,-5.564,0,0.0457,0.395,0.0,0.108,0.72,139.998,196540,4
202,LE SSERAFIM,Blue Flame,37YoRLUu1qId0ewavgvnkG,74,0.781,0.725,4,-3.571,0,0.0452,0.0281,0.0,0.0761,0.765,112.045,201895,4
54,TAEYEON,INVU,7rXcCpIAoOUCydkVDMcoPV,74,0.599,0.816,11,-3.412,0,0.0556,0.0911,2.17e-06,0.0961,0.399,106.962,204973,4
22,BIGBANG,Still Life,3TSLqZssCoCdDlMhCJ08XW,72,0.68,0.584,8,-4.457,1,0.034,0.443,0.0,0.0628,0.239,118.06,188369,4
401,Official HIGE DANdism,Mixed Nuts,3RFL9hE5cBocBsjD5XLJLQ,72,0.542,0.918,6,-5.074,1,0.0937,0.0101,0.0,0.259,0.784,150.094,213438,4
286,TAEYONG,Love Theory,1dmi9lVthTKjuemmO8ucWm,72,0.878,0.71,10,-5.127,1,0.0473,0.367,0.0,0.099,0.888,119.991,199920,4
102,V,Christmas Tree,3sd3HIsexBWBQZKYBJLuh5,71,0.437,0.384,5,-8.384,1,0.042,0.699,2.33e-05,0.121,0.181,139.009,209947,4
284,LOONA,Flip That,7cHXwaBnIBFUPuP376z07E,71,0.803,0.831,11,-3.649,0,0.0569,0.072,0.0,0.328,0.736,112.045,177373,4
129,NCT DREAM,Glitch Mode,5b1PngLlxc7hj3fJXrE2Zm,71,0.634,0.78,0,-2.323,0,0.0963,0.0164,0.0,0.141,0.694,166.923,207053,4
